연번,기관명,면적( ㎢)),과수(전체),센터수,과수(감독전체),과수(근로전체),과수(산안전체),전체정원,감독관,근로,산안,관할시군구수,인구수,사업체수,종사자수,신고사건접수건수,신고사건처리건수,평균처리일,지연처리율(%),감시단속적근로자적용제외승인,특별연장근로인가건수,노사협의회및노조설립·변경·해산신고건수,취업규칙심사건수,퇴직연금규약접수건수,15세미만취직인허18세미만야간·휴일근로 인가,임산부야간휴일근로인가,파견사업인가,최저임금적용제외인가,사내공동근로복지기금인가,우리사주조합설립및해산신고,근로감독건수,정기감독실시업체,수시감독실시업체,특별감독실시업체,사업장감독결과금품청산법위반건수,"근로시간위반건수(제50조,제53조)",휴가위반건수(제60조),근로조건미명시건수,부당노동행위위반(제81조),직장내괴롭힘적발건수,현장점검횟수,현장점검의날지도건수,교육·컨설팅횟수,안전보건감독건수,안전보건진단·개선계획수립명령건수(진단),안전보건진단·개선계획수립명령건수(개선계획),안전인증·안전검사·유해위험방지계획서조치건수(안정인증),안전인증·안전검사·유해위험방지계획서조치건수(안전검사),안전인증·안전검사·유해위험방지계획서조치건수(위해위험방지계획서),산업재해조사표입력건수,점검·감독,점검·감독현황(위반사업장),점검·감독현황(행정조치),점검·감독현황(사법조치),중대재해,중대산업사고,중대재해 작업중지,"사고재해자수
(명)","사망만인율
(?)?","사고사망만인율
(?)","부상자수?
(명)","재해자수?
(명)"," 재해율
(%)?"
37,광주청,4727.48,19,2,9,5,4,310,161,101,60,15,230,"108,709","858,460","15,762","14,543",42.88,10.68,383,664,88,"1,401","12,107",9,352,70,75,32,2,"1,142",910,232,,485,62,15,733,1,1,"5,055",314,115,974,15,12,4,267,37,4538,1204,642,639,78,94,,15,4906,1.19,0.43,4861,6049,0.71
38,전주지청,5519.18,10,3,5,2,3,155,62,36,26,9,"1,027,225","41,269","309,238","5,200","4,905",33.63,7.95,108,223,38,593,6174,5,92,21,4,17,0,486,417,68,1,213,12,1,290,,1,1449,199,1,522,18,2,1,71,9,1932,522,84,84,19,10,1,7,2206,0.88,0.47,2186,2531,0.74
39,익산지청,1051.38,5,2,2,1,1,60,22,14,8,2,"348,985","14,046","115,940","2,133","2,046",25.13,6.79,60,64,8,252,2316,3,15,14,9,1,0,148,121,27,,78,12,1,76,,,813,106,2,303,6,6,5,45,6,705,303,146,146,28,3,,2,780,1.62,0.49,772,1004,0.81
40,군산지청,1496.8,5,2,2,1,1,61,24,16,8,3,"355,099","13,903","105,165","2,219","1,985",39.82,10.03,50,91,10,213,2248,1,6,8,19,5,1,200,159,41,,170,3,1,142,,,775,101,2,373,22,21,,66,6,726,373,174,174,45,12,,6,776,0.93,0.62,768,958,0.74
41,목포지청,4733.81,5,2,2,1,1,78,31,21,10,9,"592,907","24,070","162,516","3,014","2,760",57.71,16.45,88,120,22,259,3135,3,37,9,19,5,0,285,230,55,,262,8,8,183,,,1371,126,12,371,1,1,5,98,4,1351,371,143,138,23,18,,7,1280,1.17,0.66,1264,1814,0.92
42,여수지청,3352.63,6,3,2,1,1,102,42,29,13,5,"793,227","31,316","288,244","4,225","3,899",47.3,11.95,140,114,37,403,4407,35,152,46,1,16,0,344,293,51,,136,0,0,218,,,1829,215,9,597,24,6,1,112,6,1568,597,274,274,53,24,2,19,1645,1.17,0.78,1605,1972,0.59
43,대전청,3060.7,19,4,7,4,3,289,135,78,57,10,"2,135,721","83,346","738,451","10,229","9,359",51.52,14.61,399,392,152,1366,16495,59,173,70,132,42,8,928,761,166,1,449,74,12,448,,2,3618,378,31,"1,144",24,4,2,107,14,"4,288","1,144",634,632,87,146,,19,"4,487",0.69,0.4,4445,5366,0.67
44,청주지청,4238.79,7,2,3,2,1,133,57,41,16,7,"1,136,290","42,589","409,454","6,088","5,531",41.37,10.94,245,439,47,881,7877,43,198,26,41,34,4,543,438,105,,208,43,3,288,,,2159,138,67,555,25,7,15,202,22,2929,555,369,367,59,36,2,15,2911,0.97,0.44,2885,3229,0.68
45,천안지청,2425.1,10,2,6,3,3,177,99,65,34,4,"1,269,806","52,513","520,282","10,025","9,134",46.06,13.23,267,401,69,1062,10647,76,278,24,17,47,5,793,646,147,,331,79,33,188,1,,2720,188,11,744,51,12,2,286,12,3177,744,254,251,82,56,,32,3123,0.93,0.52,3083,3652,0.59
46,충주지청,3168.59,6,3,2,1,1,79,32,22,10,4,"454,666","22,501","207,051","3,511","3,250",45.36,12.65,76,183,13,376,3558,12,24,13,11,10,1,274,219,55,,143,11,3,346,,,1121,79,12,323,21,4,5,140,21,1437,323,194,193,26,34,,15,1507,1.77,0.7,1486,1756,0.82
47,보령지청,2474.84,4,1,2,1,1,47,20,13,7,5,"329,126","12,784","98,232","1,567","1,477",33.88,5.15,41,115,16,162,2552,19,0,0,8,4,0,205,164,41,,37,31,7,85,,,972,64,6,252,10,,,48,2,572,252,137,137,5,19,,13,758,5.55,0.79,743,1131,0.9
48,서산출장소,1257.22,4,1,2,1,1,34,16,10,6,2,"233,073","8,270","82,587","1,507","1,310",61.29,21.68,31,40,7,191,910,3,1,2,0,0,0,92,75,17,,18,2,0,38,,,682,48,2,176,4,,1,46,4,477,176,122,122,17,11,1,1,461,0.93,0.72,453,572,0.59
