직급_code,직급_value
01997,기능7급 지방통신장
01999,기능8급 지방통신원
02000,기능9급 지방통신원
02001,기능10급 지방통신원
02007,기능6급 지방전기장
02008,기능7급 지방전기장
02009,기능8급 지방전기원
02010,기능9급 지방전기원
02011,기능10급 지방전기원
02012,기능6급 지방기계장
02013,기능7급 지방기계장
02014,기능8급 지방기계원
02015,기능9급 지방기계원
02016,기능10급 지방기계원
02028,기능7급 지방운전원
02029,기능8급 지방운전원
02030,기능9급 지방운전원
02031,기능10급 지방운전원
02034,기능8급 지방화공원
02035,기능9급 지방화공원
02036,기능10급 지방화공원
02039,기능8급 지방가스원
02040,기능9급 지방가스원
02041,기능10급 지방가스원
02056,기능8급 지방농림원
02057,기능9급 지방농림원
02058,기능10급 지방농림원
02066,기능8급 지방사육원
02067,기능9급 지방사육원
02068,기능10급 지방사육원
02071,기능8급 지방보건원
02072,기능9급 지방보건원
02073,기능10급 지방보건원
02076,기능8급 지방간호조무원
02077,기능9급 지방간호조무원
02078,기능10급 지방간호조무원
02081,기능8급 지방위생원
02082,기능9급 지방위생원
02083,기능10급 지방위생원
02161,기능8급 지방방호원
02162,기능9급 지방방호원
02163,기능10급 지방방호원
03000,대통령
03002,국무총리
03004,장관
03005,장관급
03006,차관
03007,차관급
03009,국무위원
03010,교사(교정직렬)
03046,검찰수사사무관
03325,학예연구관
03326,학예연구사
03333,편사연구관
03334,편사연구사
03346,공업연구관
03347,공업연구사
03365,농업연구관
03366,농업연구사
03374,임업연구관
03375,임업연구사
03392,축산연구관
03393,축산연구사
03401,가축위생연구관
03402,가축위생연구사
03410,농공연구관
03411,농공연구사
03419,수산연구관
03420,수산연구사
03428,기상연구관
03429,기상연구사
03439,보건연구관
03440,보건연구사
03448,환경연구관
03449,환경연구사
03457,토목연구관
03458,토목연구사
03459,건축연구관
03460,건축연구사
03461,농촌지도관
03462,농촌지도사
03475,어촌지도관
03476,어촌지도사
03539,별정직6급상당
03540,별정직7급상당
03541,별정직8급상당
03542,별정직9급상당
03543,청장(1급상당)
03544,관장(1급상당)
03545,대장(1급상당)
03546,소장(1급상당)
03547,원장(1급상당)
03548,위원장(1급상당)
03549,중앙심판원장(1급상당)
03550,지방심판원장(2급상당)
03551,학장(1급상당)
03552,국장(1급상당)
03553,원자력실장(1급상당)
03554,상근대표(1급상당)
03555,상근대표(2급상당)
03556,자문의원(1급상당)
03557,교수부장(2급상당)
03558,교수부장(3급상당)
03559,기술정책실장(1급상당)
03560,도서과장(4급상당)
03561,무대과장(4급상당)
03562,부녀아동과장(5급상당)
